Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2018-01-09,15123.7,15497.5,14424,14595.4,16660000000,253935000000,14714.2533333,16792687.5,247091858022,1182426648.29,150647.750218,1.05459934756,0,2196.73780488,14.375,15743559.4704,1931136454490,39993340.56,752.4182028,1.08684124002,114.458777239,919149,360265,290995050,340700,206394,2246011.72907,257849.821998,3794067602.84
2018-01-08,16476.2,16537.9,14208.2,15170.1,18413900000,276612000000,15265.9066667,16790637.5,256324304949,1742246003.55,150474.795925,1.05064833735,0,2082.36144578,14.875,15935554.0981,1931136454490,41050023.0267,694.5264055,1.04651810729,122.310547621,895996,345672,290634785,329050,233898,2520926.89168,264641.995797,4040000007.92
2018-01-07,17527.3,17579.6,16087.7,16477.6,15866000000,294222000000,16651.4716667,16788562.5,279554272793,946406884.752,150300.388301,1.04773831481,0,2272.75925926,14.3,15551564.8428,1931136454490,43826673.4267,686.11400249,0.921736983743,122.61171089,910004,368187,290289113,352796,162523,2757179.42461,294130.977742,4897713642.16
2018-01-06,17462.1,17712.4,16764.6,17527,18314600000,293091000000,17319.198,16786537.5,290729366697,1024721001.25,150130.654694,1.05460916071,0,2135.99404762,9.76666666667,16127548.7258,1931136454490,46900388.184,694.47790564,1.23060858228,134.871173939,889098,358847,289920926,342679,241394,2979615.08569,227080.970007,3932860281.58
2018-01-05,15477.2,17705.2,15202.8,17429.5,23840900000,259748000000,17174.12,16784437.5,288257943758,1764169571.11,149953.480355,1.0676357972,0,2396.55244755,9.48333333333,13727615.8797,1931136454490,41569957.46,701.35602085,0.827695246181,124.724362108,888402,342707,289562079,322200,181631,2921230.73442,300697.150592,5164208947.92
2018-01-04,15270.7,15739.7,14522.2,15599.2,21783200000,256250000000,15199.355,16782650,255085455191,1371803859.92,149800.808436,1.06583270238,0,2529.80952381,13.95,16127548.7258,1931136454490,42527795.29,778.26109477,1.07924604787,102.933855744,1054711,425008,289219372,402643,205100,2737825.46134,266691.835512,4053543883.55
2018-01-03,14978.2,15572.8,14844.5,15201,16871900000,251312000000,15053.2616667,16780550,252602010061,1138506779.2,149621.748542,1.06551321019,0,2522.05732484,9.55,15071578.2735,1931136454490,39612658.0758,749.68547259,1.43244848446,103.108718763,937530,395963,288794364,376433,209685,2816884.61238,189339.128214,2850171440.75
2018-01-02,13625,15444.6,13163.6,14982.1,16846600000,228579000000,15005.8566667,16778587.5,251777079094,1567582731.9,149454.462968,1.04136759649,0,1994.03508772,7.98333333333,16415540.6674,1931136454490,40553327.6417,649.16497626,1.18587013588,122.635624411,850801,340980,288398401,324425,175840,2536938.59566,234989.05082,3526212014.84
2018-01-01,14112.2,14112.2,13154.7,13657.2,10291200000,236725000000,13812.1866667,16776450,231719459004,744866630.509,149276.389109,1.0433825,0,1549.72435897,13.9,14975580.9597,1922580604980,32334328.9867,469.41303646,1.30924400164,138.227163984,593282,241757,288057421,231679,157092,1683244.82943,184794.662678,2552418375.92
2017-12-31,12897.7,14377.4,12755.6,14156.4,12136300000,216326000000,14165.575,16774500,237620437838,1142728354.65,149113.621439,1.03705696933,0,1781.73006135,9.13333333333,15177350.2495,1873105475220,35435185.8625,545.14452622,1.10115005561,125.970638362,678712,290422,287815664,278158,204038,1638125.54625,234540.652572,3322403204.56
